Company_Name,Job_Role,Experience,Location,Salary,Date_posted,Review,Rating
Larsen & Toubro (L&T),AI/ML Scientist,5-10 Yrs,"Navi Mumbai, Pune, Bengaluru",Not disclosed,Today,19360 Reviews,3.9
Hexaware Technologies,MS Architect (Dot Net),14-20 Yrs,"Mumbai, Pune, Chennai",Not disclosed,Today,6226 Reviews,3.5
Amazon,"Lead Consultant, AWS Professional Services",4-8 Yrs,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",Not disclosed,Just Now,26124 Reviews,4.0
Cipla,Woman Sales Professional - Acute Division,0-3 Yrs,"Ahmedabad, Bengaluru, Mumbai (All Areas)",Not disclosed,Few Hours Ago,7116 Reviews,4.1
Schneider Electric,Senior Design Engineer - Electromechanical,6-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,5 Days Ago,3963 Reviews,4.1
Fractal Analytics,AI Engineer_ LLMOps_ 3 To 5 yrs,3-5 Yrs,"Noida, Mumbai, Pune, Chennai, Gurugram, Bengaluru",Not disclosed,4 Days Ago,830 Reviews,4.0
Oracle,"Java Lead- Mumbai, Pune, Bangalore and Chennai",9-14 Yrs,"Hybrid - Mumbai, Pune, Bengaluru",Not disclosed,5 Days Ago,5384 Reviews,3.7
Capgemini,Java Developer (Immediate Joiner),4-9 Yrs,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Not disclosed,5 Days Ago,43851 Reviews,3.7
Merkle Science,Analyst,1-2 Yrs,"Mumbai, New Delhi, Pune, Bengaluru",Not disclosed,6 Days Ago,7 Reviews,3.6
Accenture,S&C GN - T&O - Change Management -Consultant,4-8 Yrs,"Mumbai, Pune, Bengaluru",Not disclosed,7 Days Ago,59124 Reviews,3.8
Capgemini,AWS Infrastructure Lead,6-11 Yrs,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Not disclosed,7 Days Ago,43851 Reviews,3.7
Infogain,Network Security Engineer || Infogain,6-10 Yrs,"Hybrid - Noida, Pune, Mumbai (All Areas)",Not disclosed,1 Day Ago,1149 Reviews,3.6
Accenture,S&C - GN - CFO EV - RC - Analyst,1-3 Yrs,"Mumbai, Pune, Gurugram",Not disclosed,5 Days Ago,59124 Reviews,3.8
Accenture,S&C GN - T&O - Instructional Design - Manager,10-13 Yrs,"Mumbai, Pune, Gurugram",Not disclosed,7 Days Ago,59124 Reviews,3.8
Accenture,GN - Industry - Utility German Bilingual,1-5 Yrs,"Mumbai, Pune, Gurugram",Not disclosed,7 Days Ago,59124 Reviews,3.8
Virtusa,MLOps Azure + Azure Devops + Gen AI (Or) AI Azure,6-10 Yrs,"Hybrid - Pune, Delhi / NCR, Mumbai (All Areas)",Not disclosed,1 Day Ago,5017 Reviews,3.7
Oracle,Oracle Fusion SCM Functional Lead,8-13 Yrs,"Hybrid - Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",18-33 Lacs PA (Including Variable: 15.0%),1 Day Ago,5384 Reviews,3.7
Arowlogiq Infotech,Live Underwriter,2-4 Yrs,"Mumbai, Chennai, Bengaluru",Not disclosed,Just Now,,
Hindustan Unilever (HUL),Ice Cream R&D Specialist,3-7 Yrs,"Mumbai, Bengaluru",Not disclosed,Few Hours Ago,6329 Reviews,4.2
upGrad,Learning And Development Specialist- BFSI and Pharma,5-10 Yrs,"Hybrid - Bengaluru, Delhi / NCR, Mumbai (All Areas)",12-22 Lacs PA,1 Day Ago,1836 Reviews,3.6
Hdfc Bank,Imperia Clients RM - Bangalore - Interview drive on 15th April'25,15 Apr,Bengaluru(Whitefield +4),7-17 Lacs PA,1 Day Ago,41250 Reviews,3.9
